cat,count
account management,32
accountants,175
accounting,389
accounts administrators,54
accounts payable,37
accounts receivable,13
administration,629
advertising,11
"agriculture, fishing & forestry",418
air con. & refrigeration,80
analysts,26
architects,89
architecture,85
area managers,4
assistant accountants,43
assistant store managers,81
au pairs & nannies,11
audit,19
automotive,470
automotive technician,159
"banking, finance & insurance",120
bar staff & baristas,167
beautician,22
boat building,13
boilermakers & welders,102
brand & product management,30
building & carpentry,558
building services,22
business & systems analysts,163
business advisory services,37
business development manager,35
butchers & bakers,70
buying,4
call centre,100
caregiving,256
central government,91
chefs,337
civil & structural,126
cleaning,185
client services,13
commercial sales & leasing,5
communications & pr,46
community & primary care,142
community & social services,398
construction & roading,1137
consultancy & valuation,2
corporate & institutional banking,2
couriers,74
credit & lending,16
critical care & emergency,35
customer service,257
customer-facing,142
data entry,27
data warehousing & bi,28
database,18
defence,5
dentistry,65
department managers,60
design,12
diesel mechanic,88
digital marketing,42
direct marketing,6
doctors & specialists,180
drafting,47
drivers & couriers,525
"ea, pa & secretarial",60
early childhood,385
education,538
electrical,191
energy,18
engineering,468
environmental,1
estimation,27
executive & general management,58
facilities & commercial property management,28
farming,191
finance managers & controllers,51
financial accounting & reporting,43
financial planning & investment,11
fishing,36
fitness & wellbeing,49
fitters & machining,36
flooring,30
forestry,61
freight forwarders,32
functional consultants,12
gardening & landscaping,118
general / ca,7
geotechnical,7
glaziers,18
government & council,232
hairdressing,84
handy-persons,57
health & safety,76
healthcare,1858
horticulture,137
hospitality & tourism,1052
housekeeping,78
hr,115
hr & recruitment,246
import & export,16
in-house counsel,16
industrial,46
insurance,37
interior design,11
it,973
journalism,2
kitchen staff,157
labourers,313
labouring,342
legal,69
local & regional council,138
machine operation,193
machine operators,287
maintenance,64
management,517
management accountants,30
manufacturing & operations,887
market research & analysis,14
marketing assistants & coordinators,29
"marketing, media & communications",204
mechanical,89
medical,60
mental health,83
merchandising,93
networking & storage,21
nursing & midwifery,433
occupational therapy,54
office & administration,648
office management,32
operations,69
paediatrics,16
painting,102
panel & paint,69
payroll,51
pharmacy,53
planning,15
plumbing,142
primary,35
printing,10
private practice,34
process & assembly,320
programming & development,252
project & contracts management,107
project management,80
property,82
psychology & counselling,121
purchasing & inventory,32
quality assurance,24
quantity surveying,64
radiography & sonography,30
reception,61
reception & front desk,25
recruitment,80
residential sales & management,48
retail,952
retail assistants,567
risk & compliance,10
roofing,70
sales,315
sales & pre-sales,13
sales managers,42
sales reps,130
sales support,52
"sales, operations & parts",138
science & technology,120
secondary,23
secretarial,19
security,123
service desk,73
sign writers,13
site management,58
store managers,113
storepersons & warehousing,223
supervisors & forepersons,187
supply chain & planning,22
surgical,38
surveying,19
systems engineers,79
tax,11
technicians,174
telecommunications,31
telesales,31
tellers & branch staff,12
tertiary,42
testing,64
theatre & recovery,25
tourism & tour guides,21
trades & services,2352
traffic management,88
training,7
transport & logistics,1072
travel consultants,2
truck ht,456
tutoring & training,46
veterinary,20
waiting staff,126
warehouse & distribution,394
water & waste,18
web design,26
womenâ€™s health,44
